Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
KELT-12,5.031623,301.9385,19.952,0.209,1800.0,1749.0,10.59,6279.0,1.59,2.37,2.2,
KELT-20,3.4741085,1074.90106,19.515,0.806,2262.0,4362.5,7.58,8720.0,1.76,1.56,0.6,
K2-136,17.307137,8.8,2.91,1.96,425.0,11.9,10.855,4499.0,0.74,0.66,0.688,
Kepler-1652,38.09722,3.19,1.6,4.28,268.0,0.81,16.002,3638.0,0.4,0.38,3.2,0.83
Kepler-1653,140.2524,5.35,2.17,2.88,284.0,0.98,15.429,4807.0,0.72,0.69,7.7,0.74
Ross 128,9.8658,1.4,1.11,5.63,301.0,1.38,11.15,3192.0,0.17,0.2,5.0,0.86
rho CrB,39.8458,332.1,13.8,0.694,614.0,34.7,5.41,5627.0,0.89,1.36,11.04,
HD 42618,149.61,14.4,3.89,1.34,337.0,3.16,6.8389999999999995,5727.0,1.01,1.0,3.72,
HD 164922,75.74,13.0,3.66,1.46,401.0,6.29,6.99,5390.0,0.93,0.95,9.58,
rho CrB,102.54,25.0,5.38,0.882,448.0,9.85,5.41,5627.0,0.89,1.36,11.04,
HATS-18,0.83784,629.14449,14.897,1.1169,2069.0,2990.0,14.067,5600.0,1.04,1.02,4.2,
Qatar-3,2.5079204,1369.8473,12.285,4.0,1681.0,1330.0,12.88,6007.0,1.15,1.27,0.31,
Qatar-4,1.8053564,1938.763,12.722000000000001,5.1,1385.0,614.0,13.6,5215.0,0.9,0.85,0.17,
Qatar-5,2.8792319,1373.0256,12.408,3.95,1415.0,669.0,12.82,5747.0,1.13,1.08,0.53,
KELT-18,2.8717518,375.0394,17.598,0.377,2085.0,3152.0,10.117,6670.0,1.52,1.91,1.9,
KELT-9,1.4811235,915.3504,21.195999999999998,0.53,4050.0,44900.0,7.55,10170.0,2.52,2.36,0.3,
GJ 9827,1.2089819,4.91,1.577,6.93,1044.0,315.0,10.25,4340.0,0.61,0.6,10.0,
GJ 9827,3.6480957,0.84,1.2409999999999999,2.42,722.0,72.0,10.25,4340.0,0.61,0.6,10.0,
GJ 9827,6.2014698,4.04,2.022,2.69,605.0,35.6,10.25,4340.0,0.61,0.6,10.0,
HATS-36,4.175186,1022.14128,12.92,2.12,1203.0,561.0,14.386,5950.0,1.1,1.1,0.62,
K2-146,2.6446,5.77,2.05,3.69,534.0,20.7,16.248,3385.0,0.33,0.33,5.0,
KELT-21,3.6127647,1242.7153,17.777,1.24,2051.0,2950.0,10.540999999999999,7598.0,1.46,1.64,1.6,
HD 39091,6.2679,4.82,2.042,2.97,1170.0,309.0,5.67,6037.0,1.09,1.1,2.98,
Kepler-1654,1047.8356,158.915,9.18,1.2,206.0,0.3,13.405999999999999,5597.0,1.01,1.18,5.0,
K2-233,7.06142,2.34,1.335,5.4,728.0,67.1,10.725999999999999,4950.0,0.8,0.74,0.36,
K2-233,24.3662,7.46,2.64,2.23,482.0,12.9,10.725999999999999,4950.0,0.8,0.74,0.36,
K2-233,2.46746,2.54,1.3980000000000001,5.11,1040.0,273.0,10.725999999999999,4950.0,0.8,0.74,0.36,
Wolf 503,6.00118,4.78,2.03,3.14,805.0,69.6,10.26,4716.0,0.69,0.69,11.0,
